model,k,metric,mean,ci_low,ci_high
popularity,5,ndcg,0.0,0.0,0.0
popularity,5,hit_rate,0.0,0.0,0.0
popularity,5,recall,0.0,0.0,0.0
popularity,5,precision,0.0,0.0,0.0
popularity,10,ndcg,0.0,0.0,0.0
popularity,10,hit_rate,0.0,0.0,0.0
popularity,10,recall,0.0,0.0,0.0
popularity,10,precision,0.0,0.0,0.0
popularity,20,ndcg,0.0,0.0,0.0
popularity,20,hit_rate,0.0,0.0,0.0
popularity,20,recall,0.0,0.0,0.0
popularity,20,precision,0.0,0.0,0.0
cf,5,ndcg,0.0701114187969213,0.060860904283122304,0.07898431491643221
cf,5,hit_rate,0.23947895791583165,0.21142284569138275,0.2645541082164328
cf,5,recall,0.036848982860329726,0.031730994686564165,0.041677209840156826
cf,5,precision,0.06332665330661323,0.055310621242484974,0.07074148296593186
cf,10,ndcg,0.07371521687281925,0.0654171207803956,0.08122835981715139
cf,10,hit_rate,0.35370741482965934,0.3246492985971944,0.3827905811623246
cf,10,recall,0.06379714717505269,0.05635985799279761,0.07034411993418378
cf,10,precision,0.054509018036072145,0.04869739478957916,0.05971943887775551
cf,20,ndcg,0.08753709344409843,0.07911448984870434,0.0950237545638216
cf,20,hit_rate,0.5110220440881763,0.47995991983967934,0.5390781563126252
cf,20,recall,0.10768181407194055,0.0977202096812798,0.11646156867327208
cf,20,precision,0.045591182364729456,0.0414316132264529,0.049500250501002006
content,5,ndcg,0.0003398398850437035,0.0,0.0010195196551311108
content,5,hit_rate,0.001002004008016032,0.0,0.003006012024048096
content,5,recall,0.000143143429716576,0.0,0.000429430289149728
content,5,precision,0.0002004008016032064,0.0,0.0006012024048096193
content,10,ndcg,0.0003489381312762033,0.0,0.0009733034498412751
content,10,hit_rate,0.002004008016032064,0.0,0.00501002004008016
content,10,recall,0.00018868906644457748,0.0,0.0005205215626057309
content,10,precision,0.0002004008016032064,0.0,0.000501002004008016
content,20,ndcg,0.00038082661803554284,0.0,0.0009896388603560606
content,20,hit_rate,0.003006012024048096,0.0,0.0070140280561122245
content,20,recall,0.00027978033990058043,0.0,0.0006571584727897353
content,20,precision,0.00015030060120240483,0.0,0.0003507014028056112
hybrid,5,ndcg,0.0701114187969213,0.060860904283122304,0.07898431491643221
hybrid,5,hit_rate,0.23947895791583165,0.21142284569138275,0.2645541082164328
hybrid,5,recall,0.036848982860329726,0.031730994686564165,0.041677209840156826
hybrid,5,precision,0.06332665330661323,0.055310621242484974,0.07074148296593186
hybrid,10,ndcg,0.07367985660594772,0.06548130537021778,0.0811030105746054
hybrid,10,hit_rate,0.35470941883767537,0.3256513026052104,0.3837675350701403
hybrid,10,recall,0.06379714717505269,0.05658003911959192,0.07026269501944368
hybrid,10,precision,0.05450901803607215,0.04869739478957916,0.059719438877755514
hybrid,20,ndcg,0.08708658713394946,0.07857166339567238,0.09443342402998525
hybrid,20,hit_rate,0.5090180360721442,0.4779559118236473,0.5380761523046093
hybrid,20,recall,0.10663805989692383,0.09690850630986432,0.1151844890353857
hybrid,20,precision,0.04534068136272545,0.04118111222444889,0.049251002004008025
